"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Cetn4",1350.61217498048,2.13886537745962,0.236735098930806,9.03484691167309,1.64232144274008e-19,1.95724081217271e-18
"Gm5148",78.7995819794038,1.69454464201439,0.319374093605968,5.30582998414724,1.12161462992137e-07,5.27067687881749e-07
"Gm20755",116.218940302126,2.04596782744591,0.278907899680362,7.33563957776262,2.20665130173268e-13,1.74534504012835e-12
"Slc7a11",947.085930095247,-1.96853208324926,0.147467065635369,-13.3489608324934,1.20112782521504e-40,3.63190119865827e-39
"Gm16206",52.9824767315731,-1.60558288993209,0.404002527466445,-3.97419021113784,7.06191111750293e-05,0.000226717368668733
"Trpc4",36.4413795612776,-1.86215066170496,0.487182085720173,-3.82228886547061,0.000132218673380822,0.00040558934957481
"Ccna1",658.142441357704,2.33167933906013,0.164472483519738,14.1767138743322,1.27687250203436e-45,4.71470269301532e-44
"Dclk1",2798.11103348199,2.69500560247927,0.104907402078924,25.6893750972097,1.53643319118895e-145,1.21523778932566e-142
"Tm4sf1",5370.38999252186,2.09863002192706,0.176447235713346,11.8938107102821,1.27455696320019e-32,2.8085105634857e-31
"Gm42513",79.9852667085618,2.99508201445363,0.369878541886476,8.09747437409571,5.61119189733934e-16,5.35057054779287e-15
"Aadacl2",28.5218519005227,-1.7877485855906,0.513702742402656,-3.48012272083474,0.000501184154118238,0.00139091329050579
"4931440P22Rik",101.063353937398,1.65374428135971,0.321971996749003,5.13629849197384,2.80202490888412e-07,1.24729947662057e-06
"Mlf1",1735.24094923213,1.78186488242367,0.119544563707334,14.9054446907849,3.03783340840644e-50,1.31563574817095e-48
"B3galnt1",65.9464423878557,1.81566125192925,0.362140917166335,5.01368711974433,5.33967893196678e-07,2.30323464378865e-06
"Gm37464",109.591812104014,2.37425114050892,0.359258648997931,6.60875151407307,3.87574625900105e-11,2.61421520557755e-10
"Zbbx",370.967608665565,2.7538351769355,0.186626911930467,14.7558310237782,2.82193861934389e-49,1.1912385834691e-47
"Glrb",60.3816271497498,1.59326951572813,0.457188090668019,3.48493223740831,0.000492261687770334,0.0013681724882213
"Lrrc71",2137.66148935713,2.60653264174994,0.192944713996209,13.509220272296,1.37975020140221e-41,4.37444852883385e-40
"Pear1",40.1366322852572,2.08681205748848,0.494450387594277,4.2204680385463,2.43795621987094e-05,8.48682095719725e-05
"Crabp2",167.60560099029,-1.83204663880058,0.291925001199951,-6.27574421947415,3.47965820856295e-10,2.14752786686998e-09
"Muc1",2039.60044001502,3.146143552182,0.118866033601201,26.4679779148467,2.2660257195802e-154,2.61952573183471e-151
"Trim46",155.656955406999,1.60284070671942,0.30415474010132,5.26981991530196,1.36557669240591e-07,6.35155881568429e-07
"Cfap141",823.248331417871,2.47635555862702,0.150058578586257,16.5025924006308,3.51473818589185e-61,2.21930611166314e-59
"Gm35439",208.608080420717,2.04402091460228,0.316168692830491,6.46496936905183,1.01319330705141e-10,6.56021930993906e-10
"Sprr2a2",170.34527096276,2.30101315252381,0.274834310486705,8.37236496581866,5.64732200833624e-17,5.78119585431042e-16
"Sprr2a3",7090.9481915045,1.53605968820016,0.484352196173196,3.17136930592319,0.00151722122302623,0.00384304745316673
"Flg",29.7423716207354,2.48386297403583,0.650559462410812,3.81804142058167,0.000134515344842566,0.000412129786400426
"Tchh",2218.66681251382,1.70780004160645,0.119699057061604,14.2674477437823,3.4912371880885e-46,1.31165781156485e-44
"Them5",1157.83543743157,-2.44095386221971,0.112188606282376,-21.7575914623263,5.854357126922e-105,1.65998639440347e-102
